candidate_id,partition,date_label,candidate_description,discovery_source_ids,discovery_urls,disposition,canonical_id,disposition_reason,primary_family_required,primary_locator_1,primary_locator_2,rights_status,materiality_status,review_status,geometry_status
mongol-cand:western_xia:07:lingzhou-and-relief-battle,western_xia,1226,"Lingzhou attack and defeat of the Western Xia relief army, 1226",D1|D2|D3,https://en.wikipedia.org/wiki/Timeline_of_the_Mongol_Empire | https://www.worldhistory.org/timeline/Mongol_Warfare/,include,mongol:lingzhou-relief-battle-1226,"Yuan shi juan 1 records the November 1226 attack on Lingzhou, arrival of a Western Xia relief army under Weiming Linggong, and its defeat after Chinggis crossed the river. Yuan shi juan 120, Chaghan biography, independently records the Lingzhou advance, Western Xia relief force, and defeat. Model the siege/relief sequence at city and campaign-region grain.",Secret History / Juvayni / Rashid al-Din or theatre-specific court chronicle,https://zh.wikisource.org/wiki/%E5%85%83%E5%8F%B2/%E5%8D%B7001,https://zh.wikisource.org/wiki/%E5%85%83%E5%8F%B2/%E5%8D%B7120,citation-only; translation/reuse unresolved; atlas English is own translation from cited Chinese originals,A,round39_primary_reconciled,"Lingzhou city marker, adjacent river-section uncertainty, and Western Xia campaign-region phase only; no exact crossing point, battlefield polygon, force positions, siege works, or pursuit route"
mongol-cand:western_xia:08:zhongxing-surrender-end-western-xia,western_xia,1227,The Tangut ruler submits during Chinggis Qan’s final campaign and is executed; the Tangut state is destroyed.,D1|D2|D3,https://en.wikipedia.org/wiki/Timeline_of_the_Mongol_Empire | https://www.worldhistory.org/timeline/Mongol_Warfare/,include,mongol:end-western-xia-1227,Secret History §§267-268 supports ruler submission/execution and dynastic destruction; precise Zhongxing place claim removed,Secret History / Juvayni / Rashid al-Din or theatre-specific court chronicle,Secret History of the Mongols §§267-268 (de Rachewiltz translation pp.187-189),,"citation-only; translation copyright unresolved, no quotation reuse",A,primary_reconciled_round4,final Tangut campaign; submission location uncertain
mongol-cand:jin_north_china:01:opening-invasion-juyong-pass,jin_north_china,1211,"In 1211 Chinggis Qan opens the Jin campaign, defeats the forces guarding the northern passes, and takes the Juyong/Čabčiyal pass.",D1|D2|D3,https://en.wikipedia.org/wiki/Timeline_of_the_Mongol_Empire | https://www.worldhistory.org/timeline/Mongol_Warfare/,include,mongol:jin-opening-juyong-1211,"Secret History §247 supports opening campaign, pass battle and passage; exact modern battle geometry is not inferred",Secret History / Juvayni / Rashid al-Din or theatre-specific court chronicle,Secret History of the Mongols §247 (de Rachewiltz translation pp.165-166),,"citation-only; translations copyright unresolved, no quotation reuse",A,primary_reconciled_round3,Juyong/Čabčiyal pass corridor; no battle point
mongol-cand:jin_north_china:02:yehuling,jin_north_china,1212,Discovery label “Yehuling” overlaps the 1211 northern-pass/Juyong campaign sequence.,D1|D2|D3,https://en.wikipedia.org/wiki/Timeline_of_the_Mongol_Empire | https://www.worldhistory.org/timeline/Mongol_Warfare/,merge,mongol:jin-opening-juyong-1211,merge: consulted primary locator narrates the pass campaign without sustaining a separate February 1212 event at this grain,Secret History / Juvayni / Rashid al-Din or theatre-specific court chronicle,Secret History of the Mongols §247 (de Rachewiltz translation pp.165-166),,"citation-only; translations copyright unresolved, no quotation reuse",A,primary_reconciled_round3,northern-pass campaign region; no separate point
mongol-cand:jin_north_china:03:eastern-capital,jin_north_china,c.1213-1214,"Qasar’s force brings Beiging, the Jin Eastern Capital, into submission and subjugates towns along the return corridor.",D1|D2|D3,https://en.wikipedia.org/wiki/Timeline_of_the_Mongol_Empire | https://www.worldhistory.org/timeline/Mongol_Warfare/,include,mongol:eastern-capital-submission-1213-1214,primary narrative names Beiging subjection but does not support a single exact day; bounded circa range retained,Secret History / Juvayni / Rashid al-Din or theatre-specific court chronicle,Secret History of the Mongols §253 (de Rachewiltz translation pp.170-171),,"citation-only; translation copyright unresolved, no quotation reuse",A,primary_reconciled_round8,Eastern Capital city plus campaign corridor; no route
mongol-cand:jin_north_china:04:zhuhu-gaoqi-hebei-shanxi,jin_north_china,1213,Discovery label conflates Shuhu Gaoqi’s 1213 court role with the wider 1213-1214 renewed Jin campaign and capital crisis.,D1|D2|D3,https://en.wikipedia.org/wiki/Timeline_of_the_Mongol_Empire | https://www.worldhistory.org/timeline/Mongol_Warfare/,merge,mongol:renewed-jin-campaign-zhongdu-1214,"Jin shi juan 14 records Shuhu Gaoqi’s October 1213 defeats north of the capital, killing of Hushahu, and promotion during the same capital-defence crisis; the later capital move is already part of the renewed Jin/Zhongdu campaign represented by the canonical row. The garbled “Hebei Shanxi” label does not sustain a separate event.",Secret History / Juvayni / Rashid al-Din or theatre-specific court chronicle,https://zh.wikisource.org/wiki/%E9%87%91%E5%8F%B2/%E5%8D%B714,Secret History of the Mongols §251 (de Rachewiltz translation pp.168-169),citation-only; translation/reuse unresolved; atlas English is own translation from cited Jin Chinese original; no quotation reuse from modern translation,A,round50_primary_reconciled_merge,"merged into renewed Jin/Zhongdu campaign parent; Zhongdu/northern-approach state markers only; no Hebei-Shanxi polygon, route, front, battle footprint, or force totals"
mongol-cand:jin_north_china:05:zijing-gap,jin_north_china,1213,"Mongol forces bypass the Juyong defence through the Zijing route during the renewed north-China campaign, turning the Jin defensive position.",D1|D2|D3,https://en.wikipedia.org/wiki/Timeline_of_the_Mongol_Empire | https://www.worldhistory.org/timeline/Mongol_Warfare/,include,mongol:zijing-pass-turning-movement-c1213,"Jin shi juan 103 retrospectively contrasts the Juyong defence with Mongol movement by Xiaoling and Zijing that put Jin forces under pressure from front and rear; juan 102 records the later Jin effort to command and defend the Zijing pass system. Preserve a circa-1213 pass-level campaign turn, without claiming an exact battle or route line.",Secret History / Juvayni / Rashid al-Din or theatre-specific court chronicle,https://zh.wikisource.org/wiki/%E9%87%91%E5%8F%B2/%E5%8D%B7103,https://zh.wikisource.org/wiki/%E9%87%91%E5%8F%B2/%E5%8D%B7102,citation-only; translation/reuse unresolved; atlas English is own translation from cited Jin Chinese originals,B,round48_primary_reconciled,"Zijing Pass named corridor marker with uncertainty; no exact crossing point, army route, front line, encirclement polygon, battle footprint, or force totals"
mongol-cand:jin_north_china:06:first-zhongdu-siege-settlement,jin_north_china,1211,"During the first siege of Zhongdu, the Jin court submits, provides a princess and tribute, and the Mongol army withdraws.",D1|D2|D3,https://en.wikipedia.org/wiki/Timeline_of_the_Mongol_Empire | https://www.worldhistory.org/timeline/Mongol_Warfare/,include,mongol:first-zhongdu-siege-settlement-1211,Secret History §§248-250 ties this first siege settlement to the 1211 campaign; discovery date 1214 removed,Secret History / Juvayni / Rashid al-Din or theatre-specific court chronicle,Secret History of the Mongols §§248-250 (de Rachewiltz translation pp.166-168),,"citation-only; translations copyright unresolved, no quotation reuse",A,primary_reconciled_round3,Zhongdu city; siege footprint unresolved
mongol-cand:jin_north_china:07:renewed-zhongdu-siege,jin_north_china,1214,Chinggis Qan renews the Jin campaign in 1214; Jin forces are defeated and the emperor abandons Zhongdu for Nanjing.,D1|D2|D3,https://en.wikipedia.org/wiki/Timeline_of_the_Mongol_Empire | https://www.worldhistory.org/timeline/Mongol_Warfare/,include,mongol:renewed-jin-campaign-zhongdu-1214,"Secret History §251 supports campaign renewal, pass battle and imperial flight; row does not claim city capture",Secret History / Juvayni / Rashid al-Din or theatre-specific court chronicle,Secret History of the Mongols §251 (de Rachewiltz translation pp.168-169),,"citation-only; translations copyright unresolved, no quotation reuse",A,primary_reconciled_round3,Tongguan/Juyong-Zhongdu campaign corridor; no route line
mongol-cand:jin_north_china:08:capture-zhongdu,jin_north_china,1215,Mongol forces occupy Zhongdu after the Jin emperor’s flight; its stores are inventoried for Chinggis Qan.,D1|D2|D3,https://en.wikipedia.org/wiki/Timeline_of_the_Mongol_Empire | https://www.worldhistory.org/timeline/Mongol_Warfare/,include,mongol:occupation-zhongdu-1215,Secret History §252 supports occupation and inventory; “battle” wording removed because this locator describes abandoned-city control transfer,Secret History / Juvayni / Rashid al-Din or theatre-specific court chronicle,Secret History of the Mongols §252 (de Rachewiltz translation pp.169-170),,"citation-only; translations copyright unresolved, no quotation reuse",A,primary_reconciled_round3,Zhongdu city; no battle geometry
mongol-cand:jin_north_china:09:muqali-campaigns,jin_north_china,1217-1218,"Muqali receives command south of the Taihang in 1217, establishes a field administration, and campaigns through the North China cities and Shanxi in 1217-1218.",D1|D2|D3,https://en.wikipedia.org/wiki/Timeline_of_the_Mongol_Empire | https://www.worldhistory.org/timeline/Mongol_Warfare/,include,mongol:muqali-north-china-campaign-1217-1218,"Yuan shi juan 119 records Muqali’s August 1217 appointment with command south of the Taihang, establishment of a field administration at Yun and Yan, and subsequent campaigns through Daming, Shandong, Taiyuan and other named cities into 1218. Model a campaign parent with dated named-place phases, not a continuous route or conquest surface.",Secret History / Juvayni / Rashid al-Din or theatre-specific court chronicle,https://zh.wikisource.org/wiki/%E5%85%83%E5%8F%B2/%E5%8D%B7119,https://zh.wikisource.org/wiki/%E9%87%91%E5%8F%B2/%E5%8D%B714,citation-only; translation/reuse unresolved; atlas English is own translation from cited Yuan/Jin Chinese originals,A,round49_primary_reconciled,"campaign parent with dated named-city and region markers south of Taihang; no continuous route, conquest polygon, front line, garrison footprint, force totals, or casualty totals"
mongol-cand:jin_north_china:10:tong-pass-defeat,jin_north_china,1230-1231,"Jin forces under Wanyan Heda and Yila Pua check Mongol forces in the Tong Pass defensive theatre, with victories at Dachangyuan and Daohuigu in 1230-1231.",D1|D2|D3,https://en.wikipedia.org/wiki/Timeline_of_the_Mongol_Empire | https://www.worldhistory.org/timeline/Mongol_Warfare/,include,mongol:jin-tong-pass-daohuigu-defence-1230-1231,"Corrects the discovery label. Jin shi juan 112 places Heda and Pua in the Tong Pass defence and records the January 1231 response beyond the pass; juan 113 explicitly identifies repeated Dachangyuan and Daohuigu victories during these years. Model a defensive-theatre phase with named places, not one exact “Tong Pass defeat” battle.",Secret History / Juvayni / Rashid al-Din or theatre-specific court chronicle,https://zh.wikisource.org/wiki/%E9%87%91%E5%8F%B2/%E5%8D%B7112,https://zh.wikisource.org/wiki/%E9%87%91%E5%8F%B2/%E5%8D%B7113,citation-only; translation/reuse unresolved; atlas English is own translation from cited Jin Chinese originals,A,round47_primary_reconciled,"Tong Pass defensive-theatre marker with named Dachangyuan and Daohuigu context markers only; no pass-line polygon, army route, battle footprint, pursuit, force totals, or casualty totals"
mongol-cand:jin_north_china:11:fengxiang,jin_north_china,1230-1231,Siege and fall of Fengxiang,D1|D2|D3,https://en.wikipedia.org/wiki/Timeline_of_the_Mongol_Empire | https://www.worldhistory.org/timeline/Mongol_Warfare/,include,mongol:siege-fengxiang-1230-1231,"Corrects discovery year. Yuan shi juan 115 records Tolui attacking Fengxiang in 1230, an initial Mongol setback and imperial reinforcement, then the city falling; Jin shi juan 17 independently records the siege continuing in January 1231 and Fengxiang falling in April. Model as a 1230-1231 siege, not a single 1230 battle.",Secret History / Juvayni / Rashid al-Din or theatre-specific court chronicle,https://zh.wikisource.org/wiki/%E5%85%83%E5%8F%B2/%E5%8D%B7115,https://zh.wikisource.org/wiki/%E9%87%91%E5%8F%B2/%E5%8D%B717,citation-only; translation/reuse unresolved; atlas English is own translation from cited Yuan/Jin Chinese originals,A,round36_primary_reconciled,"Fengxiang city marker and siege-region state only; no siege ring, assault direction, wall breach, camp polygon, reinforcement route, or urban destruction footprint"
mongol-cand:jin_north_china:12:henan-wanyan-heda,jin_north_china,1231-1232,"Ögedei renews the Jin war in 1231; Mongol forces advance into Jin territory, and the Jin field army is broken during the campaign.",D1|D2|D3,https://en.wikipedia.org/wiki/Timeline_of_the_Mongol_Empire | https://www.worldhistory.org/timeline/Mongol_Warfare/,include,mongol:final-jin-campaign-opens-1231-1232,Secret History §§271-273 supports renewed campaign and final destruction but not this discovery row’s precise Wanyan Heda death wording,Secret History / Juvayni / Rashid al-Din or theatre-specific court chronicle,Secret History of the Mongols §§271-273 (de Rachewiltz translation pp.191-193),,"citation-only; translation copyright unresolved, no quotation reuse",A,primary_reconciled_round5,north-China campaign region; no battle point
mongol-cand:jin_north_china:13:kaifeng-siege,jin_north_china,1232-1233,Siege of Kaifeng/Bianjing and Jin evacuation-surrender sequence,D1|D2|D3,https://en.wikipedia.org/wiki/Timeline_of_the_Mongol_Empire | https://www.worldhistory.org/timeline/Mongol_Warfare/,include,mongol:siege-kaifeng-1232-1233,"Jin shi juan 17 records the March 1232 assault on Bianjing, negotiations, siege conditions, epidemic, renewed rupture, and the Jin ruler departure; Yuan shi juan 2 independently records Subutai ordered to besiege Nanjing/Kaifeng, relief defeat, the January 1233 surrender, and April entry. Model as 1232-1233 siege and capital-transfer sequence, not an uninterrupted assault.",Secret History / Juvayni / Rashid al-Din or theatre-specific court chronicle,https://zh.wikisource.org/wiki/%E9%87%91%E5%8F%B2/%E5%8D%B717,https://zh.wikisource.org/wiki/%E5%85%83%E5%8F%B2/%E5%8D%B7002,citation-only; translation/reuse unresolved; atlas English is own translation from cited Jin/Yuan Chinese originals,A,round35_primary_reconciled,"Kaifeng/Bianjing city marker and siege-region state only; no siege ring, wall breach, camp polygons, relief route, epidemic surface, or evacuation line"
mongol-cand:jin_north_china:14:caizhou-end-jin,jin_north_china,1234,The final Jin campaign ends with destruction of the Jin ruler and establishment of Mongol garrisons and commissioners in the conquered cities.,D1|D2|D3,https://en.wikipedia.org/wiki/Timeline_of_the_Mongol_Empire | https://www.worldhistory.org/timeline/Mongol_Warfare/,include,mongol:end-jin-1234,"Secret History §273 supports dynastic destruction/control transition, not the discovery source’s precise Caizhou abdication sequence",Secret History / Juvayni / Rashid al-Din or theatre-specific court chronicle,Secret History of the Mongols §273 (de Rachewiltz translation p.193),,"citation-only; translation copyright unresolved, no quotation reuse",A,primary_reconciled_round5,final Jin court/campaign region; exact terminal location not asserted
mongol-cand:qarakhitai_khwarazm_central_asia:01:kashgar-kuchlug-flight,qarakhitai_khwarazm_central_asia,1218,"Aggregate opening phase of Jebe’s campaign against Kuchlug, including his flight from Kashgar.",D1|D2|D3,https://en.wikipedia.org/wiki/Timeline_of_the_Mongol_Empire | https://www.worldhistory.org/timeline/Mongol_Warfare/,merge,mongol:qarakhitai-kuchlug-defeat-1218,merge into terminal Kuchlug pursuit/capture sequence; primary evidence does not support retaining a separate 1216 Kashgar capture event at this grain,Secret History / Juvayni / Rashid al-Din or theatre-specific court chronicle,"Juvayni, History of the World-Conqueror I, pp.66-68",,"citation-only; translation copyright unresolved, no quotation reuse",A,primary_reconciled_round2,Kashgar origin of pursuit; no point
mongol-cand:qarakhitai_khwarazm_central_asia:02:kuchlug-capture-end-qara-khitai,qarakhitai_khwarazm_central_asia,1218,Chinggis Qan sends Jebe against Kuchlug; Kuchlug flees Kashgar and is captured and killed near the Badakhshan frontier.,D1|D2|D3,https://en.wikipedia.org/wiki/Timeline_of_the_Mongol_Empire | https://www.worldhistory.org/timeline/Mongol_Warfare/,include,mongol:qarakhitai-kuchlug-defeat-1218,"this resolves the Qara Khitai end candidate, not a clean 1216 Kashgar seizure; primary accounts preserve route/location uncertainty",Secret History / Juvayni / Rashid al-Din or theatre-specific court chronicle,Secret History of the Mongols §237 (de Rachewiltz translation p.153),"Juvayni, History of the World-Conqueror I, pp.66-68","citation-only; translations copyright unresolved, no quotation reuse",A,primary_reconciled_round2,Kashgar-to-Badakhshan pursuit corridor; capture place uncertain
mongol-cand:qarakhitai_khwarazm_central_asia:03:jochi-subutai-clash-muhammad-ii,qarakhitai_khwarazm_central_asia,1216-1219 (chronology disputed),Sultan Muhammad overtakes a Mongol force pursuing Qanqli/Qipchaq fugitives; a day-long battle ends without a decisive victory before the Mongols withdraw.,D1|D2|D3,https://en.wikipedia.org/wiki/Timeline_of_the_Mongol_Empire | https://www.worldhistory.org/timeline/Mongol_Warfare/,include,mongol:muhammad-mongol-clash-qaili-qaimich,"Juvaini gives a detailed encounter between the rivers Qaili and Qaimich, while his editor notes divergent chronologies (1216 versus 1219) and uncertain river identifications; Yuan shi’s Sübe’etei biography independently describes an indecisive clash at Hui-li. Include the strategic warning encounter with an explicit date range and without asserting Irghiz, Jochi’s command, or a precise point.",Secret History / Juvayni / Rashid al-Din or theatre-specific court chronicle,https://archive.org/stream/historyoftheworl011648mbp/historyoftheworl011648mbp_djvu.txt,https://archive.org/details/historyoftheworl011648mbp,citation-only; translation/reuse unresolved; atlas English is own synthesis from cited source translation,A,round64_primary_reconciled_chronology_uncertain,"Qaili-Qaimich/Hui-li encounter context only; no Irghiz point, river identification, route, wing geometry, battle polygon, or control surface"
mongol-cand:qarakhitai_khwarazm_central_asia:04:otrar-incident,qarakhitai_khwarazm_central_asia,1218,"At Otrar, governor Inalchuq arrests a Mongol-sponsored merchant caravan; Sultan Muhammad authorizes their killing and seizure of goods, after which further envoys fail and Chinggis prepares war.",D1|D2|D3,https://en.wikipedia.org/wiki/Timeline_of_the_Mongol_Empire | https://www.worldhistory.org/timeline/Mongol_Warfare/,include,mongol:otrar-incident-1218,Juvayni gives the causal diplomatic sequence; precise caravan size is omitted from canonical claim,Secret History / Juvayni / Rashid al-Din or theatre-specific court chronicle,"Juvayni, History of the World-Conqueror I, pp.77-81 (Boyle trans.)",Secret History of the Mongols §254 (de Rachewiltz translation p.171),"citation-only; translations copyright unresolved, no quotation reuse",A,primary_reconciled_round3,Otrar diplomatic incident; city-level only
mongol-cand:qarakhitai_khwarazm_central_asia:05:capture-otrar-invasion-branches,qarakhitai_khwarazm_central_asia,1219-1220,The Mongol invasion reaches Otrar; Chagatai and Ögedei conduct the siege while other forces branch toward the Syr Darya and Bukhara; the city and citadel fall after prolonged resistance.,D1|D2|D3,https://en.wikipedia.org/wiki/Timeline_of_the_Mongol_Empire | https://www.worldhistory.org/timeline/Mongol_Warfare/,include,mongol:siege-otrar-1219-1220,"Juvayni supports siege, force division, fall and Ghayir Khan capture; single-season 1219 label broadened because the account gives a five-month siege",Secret History / Juvayni / Rashid al-Din or theatre-specific court chronicle,"Juvayni, History of the World-Conqueror I, pp.81-86 (Boyle trans.)",,"citation-only; translations copyright unresolved, no quotation reuse",A,primary_reconciled_round3,Otrar city siege; no reconstructed siege works
mongol-cand:qarakhitai_khwarazm_central_asia:06:bukhara,qarakhitai_khwarazm_central_asia,1220,"Chinggis Qan’s army takes Bukhara; after surrender of the town, the resisting citadel is stormed and destroyed.",D1|D2|D3,https://en.wikipedia.org/wiki/Timeline_of_the_Mongol_Empire | https://www.worldhistory.org/timeline/Mongol_Warfare/,include,mongol:capture-bukhara-1220,Juvayni distinguishes town surrender from citadel resistance; canonical wording preserves that sequence,Secret History / Juvayni / Rashid al-Din or theatre-specific court chronicle,"Juvayni, History of the World-Conqueror I, pp.102-108 (Boyle trans.)",,"citation-only; translations copyright unresolved, no quotation reuse",A,primary_reconciled_round3,Bukhara city/citadel; no exact assault geometry
